name,0,1,2,3,4,5,6,7,8,9,10,50ns,film
0,0.431,2.063,2.993,1.794,2.571,1.408,1.992,1.766,1.634,1.785,2.051,2.274,2.334
1,6.728,3.044,4.005,4.02,3.992,4.139,4.033,4.156,3.98,4.184,3.953,4.014,3.625
2,6.746,3.8,2.864,3.804,3.613,3.631,3.582,3.716,3.668,3.729,3.655,3.56,3.433
3,6.682,3.875,3.739,2.848,3.626,3.657,3.77,3.72,3.619,3.791,3.686,3.709,3.487
4,6.703,3.638,3.62,3.694,2.809,3.656,3.573,3.751,3.696,3.732,3.677,3.71,3.414
5,6.931,4.108,3.881,3.956,3.893,3.022,3.84,4.137,3.977,3.987,3.873,3.823,3.637
6,6.396,3.732,3.555,3.708,3.481,3.515,2.858,3.704,3.535,3.564,3.539,3.623,3.405
7,6.275,3.799,3.654,3.701,3.621,3.666,3.714,2.804,3.613,3.703,3.742,3.53,3.494
8,6.723,3.915,3.788,3.788,3.798,3.795,3.745,3.923,3.063,3.915,3.807,3.988,3.576
9,6.273,4.136,3.973,4.012,4.011,3.953,3.944,4.036,4.036,3.223,4.024,3.865,3.664
10,6.391,3.902,3.75,3.876,3.815,3.851,3.748,3.925,3.725,3.839,3.086,3.759,3.726
50ns,6.667,3.671,3.622,3.581,3.62,3.409,3.619,3.657,3.643,3.495,3.51,2.72,3.388
Film,9.574,7.28,7.346,7.888,7.753,7.561,7.62,7.419,7.499,7.817,7.408,7.266,3.395
